frame_path,angle
data\processed\resized_images\image_517_angle_90_resized.jpg,90
data\processed\resized_images\image_733_angle_90_resized.jpg,90
data\processed\resized_images\image_608_angle_90_resized.jpg,90
data\processed\resized_images\image_526_angle_90_resized.jpg,90
data\processed\resized_images\image_374_angle_90_resized.jpg,90
data\processed\resized_images\image_475_angle_90_resized.jpg,90
data\processed\resized_images\image_327_angle_90_resized.jpg,90
data\processed\resized_images\image_589_angle_90_resized.jpg,90
data\processed\resized_images\image_371_angle_90_resized.jpg,90
data\processed\resized_images\image_364_angle_90_resized.jpg,90
data\processed\resized_images\image_432_angle_90_resized.jpg,90
data\processed\resized_images\image_687_angle_90_resized.jpg,90
data\processed\resized_images\image_786_angle_90_resized.jpg,90
data\processed\resized_images\image_1008_angle_90_resized.jpg,90
data\processed\resized_images\image_560_angle_90_resized.jpg,90
data\processed\resized_images\image_904_angle_90_resized.jpg,90
data\processed\resized_images\image_382_angle_90_resized.jpg,90
data\processed\resized_images\image_475_angle_90_resized.jpg,90
data\processed\resized_images\image_321_angle_90_resized.jpg,90
data\processed\resized_images\image_815_angle_90_resized.jpg,90
data\processed\resized_images\image_081_angle_90_resized.jpg,90
data\processed\resized_images\image_259_angle_90_resized.jpg,90
data\processed\resized_images\image_020_angle_90_resized.jpg,90
data\processed\resized_images\image_598_angle_90_resized.jpg,90
data\processed\resized_images\image_1031_angle_90_resized.jpg,90
data\processed\resized_images\image_721_angle_90_resized.jpg,90
data\processed\resized_images\image_672_angle_90_resized.jpg,90
data\processed\resized_images\image_014_angle_90_resized.jpg,90
data\processed\resized_images\image_718_angle_90_resized.jpg,90
data\processed\resized_images\image_184_angle_90_resized.jpg,90
data\processed\resized_images\image_205_angle_90_resized.jpg,90
data\processed\resized_images\image_1029_angle_90_resized.jpg,90
data\processed\resized_images\image_213_angle_90_resized.jpg,90
data\processed\resized_images\image_1061_angle_90_resized.jpg,90
data\processed\resized_images\image_844_angle_90_resized.jpg,90
data\processed\resized_images\image_270_angle_90_resized.jpg,90
data\processed\resized_images\image_926_angle_90_resized.jpg,90
data\processed\resized_images\image_579_angle_90_resized.jpg,90
data\processed\resized_images\image_810_angle_90_resized.jpg,90
data\processed\resized_images\image_502_angle_90_resized.jpg,90
data\processed\resized_images\image_425_angle_90_resized.jpg,90
data\processed\resized_images\image_081_angle_90_resized.jpg,90
data\processed\resized_images\image_039_angle_90_resized.jpg,90
data\processed\resized_images\image_203_angle_90_resized.jpg,90
data\processed\resized_images\image_347_angle_90_resized.jpg,90
data\processed\resized_images\image_673_angle_90_resized.jpg,90
data\processed\resized_images\image_515_angle_90_resized.jpg,90
data\processed\resized_images\image_924_angle_90_resized.jpg,90
data\processed\resized_images\image_059_angle_90_resized.jpg,90
data\processed\resized_images\image_094_angle_90_resized.jpg,90
data\processed\resized_images\image_897_angle_90_resized.jpg,90
data\processed\resized_images\image_1025_angle_90_resized.jpg,90
data\processed\resized_images\image_375_angle_90_resized.jpg,90
data\processed\resized_images\image_584_angle_90_resized.jpg,90
data\processed\resized_images\image_1107_angle_90_resized.jpg,90
data\processed\resized_images\image_287_angle_90_resized.jpg,90
data\processed\resized_images\image_760_angle_90_resized.jpg,90
data\processed\resized_images\image_373_angle_90_resized.jpg,90
data\processed\resized_images\image_062_angle_90_resized.jpg,90
data\processed\resized_images\image_409_angle_90_resized.jpg,90
data\processed\resized_images\image_1113_angle_90_resized.jpg,90
data\processed\resized_images\image_960_angle_90_resized.jpg,90
data\processed\resized_images\image_193_angle_90_resized.jpg,90
data\processed\resized_images\image_487_angle_90_resized.jpg,90
data\processed\resized_images\image_008_angle_90_resized.jpg,90
data\processed\resized_images\image_383_angle_90_resized.jpg,90
data\processed\resized_images\image_480_angle_90_resized.jpg,90
data\processed\resized_images\image_862_angle_90_resized.jpg,90
data\processed\resized_images\image_759_angle_90_resized.jpg,90
data\processed\resized_images\image_564_angle_90_resized.jpg,90
data\processed\resized_images\image_846_angle_90_resized.jpg,90
data\processed\resized_images\image_361_angle_90_resized.jpg,90
data\processed\resized_images\image_020_angle_90_resized.jpg,90
data\processed\resized_images\image_722_angle_90_resized.jpg,90
data\processed\resized_images\image_082_angle_90_resized.jpg,90
data\processed\resized_images\image_815_angle_90_resized.jpg,90
data\processed\resized_images\image_305_angle_90_resized.jpg,90
data\processed\resized_images\image_1029_angle_90_resized.jpg,90
data\processed\resized_images\image_738_angle_90_resized.jpg,90
data\processed\resized_images\image_425_angle_90_resized.jpg,90
data\processed\resized_images\image_445_angle_90_resized.jpg,90
data\processed\resized_images\image_1005_angle_90_resized.jpg,90
data\processed\resized_images\image_1101_angle_90_resized.jpg,90
data\processed\resized_images\image_833_angle_90_resized.jpg,90
data\processed\resized_images\image_397_angle_90_resized.jpg,90
data\processed\resized_images\image_897_angle_90_resized.jpg,90
data\processed\resized_images\image_425_angle_90_resized.jpg,90
data\processed\resized_images\image_432_angle_90_resized.jpg,90
data\processed\resized_images\image_229_angle_90_resized.jpg,90
data\processed\resized_images\image_286_angle_90_resized.jpg,90
data\processed\resized_images\image_042_angle_90_resized.jpg,90
data\processed\resized_images\image_064_angle_90_resized.jpg,90
data\processed\resized_images\image_018_angle_90_resized.jpg,90
data\processed\resized_images\image_265_angle_90_resized.jpg,90
data\processed\resized_images\image_672_angle_90_resized.jpg,90
data\processed\resized_images\image_318_angle_90_resized.jpg,90
data\processed\resized_images\image_448_angle_90_resized.jpg,90
data\processed\resized_images\image_1075_angle_90_resized.jpg,90
data\processed\resized_images\image_566_angle_90_resized.jpg,90
data\processed\resized_images\image_1032_angle_90_resized.jpg,90
data\processed\resized_images\image_285_angle_90_resized.jpg,90
data\processed\resized_images\image_085_angle_90_resized.jpg,90
data\processed\resized_images\image_1025_angle_90_resized.jpg,90
data\processed\resized_images\image_202_angle_90_resized.jpg,90
data\processed\resized_images\image_566_angle_90_resized.jpg,90
data\processed\resized_images\image_039_angle_90_resized.jpg,90
data\processed\resized_images\image_1126_angle_90_resized.jpg,90
data\processed\resized_images\image_084_angle_90_resized.jpg,90
data\processed\resized_images\image_700_angle_90_resized.jpg,90
data\processed\resized_images\image_571_angle_90_resized.jpg,90
data\processed\resized_images\image_677_angle_90_resized.jpg,90
data\processed\resized_images\image_182_angle_90_resized.jpg,90
data\processed\resized_images\image_727_angle_90_resized.jpg,90
data\processed\resized_images\image_425_angle_90_resized.jpg,90
data\processed\resized_images\image_327_angle_90_resized.jpg,90
data\processed\resized_images\image_407_angle_90_resized.jpg,90
data\processed\resized_images\image_825_angle_90_resized.jpg,90
data\processed\resized_images\image_804_angle_90_resized.jpg,90
data\processed\resized_images\image_564_angle_90_resized.jpg,90
data\processed\resized_images\image_1163_angle_90_resized.jpg,90
data\processed\resized_images\image_1141_angle_90_resized.jpg,90
data\processed\resized_images\image_428_angle_90_resized.jpg,90
data\processed\resized_images\image_491_angle_90_resized.jpg,90
data\processed\resized_images\image_759_angle_90_resized.jpg,90
data\processed\resized_images\image_339_angle_90_resized.jpg,90
data\processed\resized_images\image_907_angle_90_resized.jpg,90
data\processed\resized_images\image_206_angle_90_resized.jpg,90
data\processed\resized_images\image_643_angle_90_resized.jpg,90
data\processed\resized_images\image_276_angle_90_resized.jpg,90
data\processed\resized_images\image_407_angle_90_resized.jpg,90
data\processed\resized_images\image_613_angle_90_resized.jpg,90
data\processed\resized_images\image_429_angle_90_resized.jpg,90
data\processed\resized_images\image_287_angle_90_resized.jpg,90
data\processed\resized_images\image_246_angle_90_resized.jpg,90
data\processed\resized_images\image_636_angle_90_resized.jpg,90
data\processed\resized_images\image_797_angle_90_resized.jpg,90
data\processed\resized_images\image_265_angle_90_resized.jpg,90
data\processed\resized_images\image_1101_angle_90_resized.jpg,90
data\processed\resized_images\image_428_angle_90_resized.jpg,90
data\processed\resized_images\image_306_angle_90_resized.jpg,90
data\processed\resized_images\image_1139_angle_90_resized.jpg,90
data\processed\resized_images\image_643_angle_90_resized.jpg,90
data\processed\resized_images\image_1005_angle_90_resized.jpg,90
data\processed\resized_images\image_515_angle_90_resized.jpg,90
data\processed\resized_images\image_587_angle_90_resized.jpg,90
data\processed\resized_images\image_827_angle_90_resized.jpg,90
data\processed\resized_images\image_832_angle_90_resized.jpg,90
data\processed\resized_images\image_1139_angle_90_resized.jpg,90
data\processed\resized_images\image_1113_angle_90_resized.jpg,90
data\processed\resized_images\image_1139_angle_90_resized.jpg,90
data\processed\resized_images\image_987_angle_90_resized.jpg,90
data\processed\resized_images\image_1061_angle_90_resized.jpg,90
data\processed\resized_images\image_318_angle_90_resized.jpg,90
data\processed\resized_images\image_1139_angle_90_resized.jpg,90
data\processed\resized_images\image_002_angle_90_resized.jpg,90
data\processed\resized_images\image_186_angle_90_resized.jpg,90
data\processed\resized_images\image_387_angle_90_resized.jpg,90
data\processed\resized_images\image_100_angle_90_resized.jpg,90
data\processed\resized_images\image_714_angle_90_resized.jpg,90
data\processed\resized_images\image_403_angle_90_resized.jpg,90
data\processed\resized_images\image_407_angle_90_resized.jpg,90
data\processed\resized_images\image_825_angle_90_resized.jpg,90
data\processed\resized_images\image_878_angle_90_resized.jpg,90
data\processed\resized_images\image_1176_angle_90_resized.jpg,90
data\processed\resized_images\image_186_angle_90_resized.jpg,90
data\processed\resized_images\image_1008_angle_90_resized.jpg,90
data\processed\resized_images\image_287_angle_90_resized.jpg,90
data\processed\resized_images\image_383_angle_90_resized.jpg,90
data\processed\resized_images\image_265_angle_90_resized.jpg,90
data\processed\resized_images\image_339_angle_90_resized.jpg,90
data\processed\resized_images\image_916_angle_90_resized.jpg,90
data\processed\resized_images\image_460_angle_90_resized.jpg,90
data\processed\resized_images\image_667_angle_90_resized.jpg,90
data\processed\resized_images\image_985_angle_90_resized.jpg,90
data\processed\resized_images\image_352_angle_90_resized.jpg,90
data\processed\resized_images\image_312_angle_90_resized.jpg,90
data\processed\resized_images\image_1169_angle_90_resized.jpg,90
data\processed\resized_images\image_869_angle_90_resized.jpg,90
data\processed\resized_images\image_480_angle_90_resized.jpg,90
data\processed\resized_images\image_585_angle_90_resized.jpg,90
data\processed\resized_images\image_560_angle_90_resized.jpg,90
data\processed\resized_images\image_668_angle_90_resized.jpg,90
data\processed\resized_images\image_794_angle_90_resized.jpg,90
data\processed\resized_images\image_1105_angle_90_resized.jpg,90
data\processed\resized_images\image_339_angle_90_resized.jpg,90
data\processed\resized_images\image_851_angle_90_resized.jpg,90
data\processed\resized_images\image_438_angle_90_resized.jpg,90
data\processed\resized_images\image_232_angle_90_resized.jpg,90
data\processed\resized_images\image_1102_angle_90_resized.jpg,90
data\processed\resized_images\image_347_angle_90_resized.jpg,90
data\processed\resized_images\image_1172_angle_90_resized.jpg,90
data\processed\resized_images\image_318_angle_90_resized.jpg,90
data\processed\resized_images\image_670_angle_90_resized.jpg,90
data\processed\resized_images\image_730_angle_90_resized.jpg,90
data\processed\resized_images\image_491_angle_90_resized.jpg,90
data\processed\resized_images\image_238_angle_90_resized.jpg,90
data\processed\resized_images\image_475_angle_90_resized.jpg,90
data\processed\resized_images\image_930_angle_90_resized.jpg,90
data\processed\resized_images\image_878_angle_90_resized.jpg,90
data\processed\resized_images\image_722_angle_90_resized.jpg,90
data\processed\resized_images\image_237_angle_90_resized.jpg,90
data\processed\resized_images\image_238_angle_90_resized.jpg,90
data\processed\resized_images\image_738_angle_90_resized.jpg,90
data\processed\resized_images\image_343_angle_90_resized.jpg,90
data\processed\resized_images\image_614_angle_90_resized.jpg,90
data\processed\resized_images\image_919_angle_90_resized.jpg,90
data\processed\resized_images\image_944_angle_90_resized.jpg,90
data\processed\resized_images\image_182_angle_90_resized.jpg,90
data\processed\resized_images\image_076_angle_90_resized.jpg,90
data\processed\resized_images\image_687_angle_90_resized.jpg,90
data\processed\resized_images\image_760_angle_90_resized.jpg,90
data\processed\resized_images\image_184_angle_90_resized.jpg,90
data\processed\resized_images\image_514_angle_90_resized.jpg,90
data\processed\resized_images\image_964_angle_90_resized.jpg,90
data\processed\resized_images\image_242_angle_90_resized.jpg,90
data\processed\resized_images\image_913_angle_90_resized.jpg,90
data\processed\resized_images\image_593_angle_90_resized.jpg,90
data\processed\resized_images\image_1107_angle_90_resized.jpg,90
data\processed\resized_images\image_504_angle_90_resized.jpg,90
data\processed\resized_images\image_475_angle_90_resized.jpg,90
data\processed\resized_images\image_232_angle_90_resized.jpg,90
data\processed\resized_images\image_722_angle_90_resized.jpg,90
data\processed\resized_images\image_1138_angle_90_resized.jpg,90
data\processed\resized_images\image_1020_angle_90_resized.jpg,90
data\processed\resized_images\image_791_angle_90_resized.jpg,90
data\processed\resized_images\image_002_angle_90_resized.jpg,90
data\processed\resized_images\image_825_angle_90_resized.jpg,90
data\processed\resized_images\image_608_angle_90_resized.jpg,90
data\processed\resized_images\image_479_angle_90_resized.jpg,90
data\processed\resized_images\image_214_angle_90_resized.jpg,90
data\processed\resized_images\image_065_angle_90_resized.jpg,90
data\processed\resized_images\image_265_angle_90_resized.jpg,90
data\processed\resized_images\image_014_angle_90_resized.jpg,90
data\processed\resized_images\image_428_angle_90_resized.jpg,90
data\processed\resized_images\image_1107_angle_90_resized.jpg,90
data\processed\resized_images\image_237_angle_90_resized.jpg,90
data\processed\resized_images\image_608_angle_90_resized.jpg,90
data\processed\resized_images\image_364_angle_90_resized.jpg,90
data\processed\resized_images\image_193_angle_90_resized.jpg,90
data\processed\resized_images\image_880_angle_90_resized.jpg,90
data\processed\resized_images\image_246_angle_90_resized.jpg,90
data\processed\resized_images\image_100_angle_90_resized.jpg,90
data\processed\resized_images\image_1160_angle_90_resized.jpg,90
data\processed\resized_images\image_266_angle_90_resized.jpg,90
data\processed\resized_images\image_898_angle_90_resized.jpg,90
data\processed\resized_images\image_1141_angle_90_resized.jpg,90
data\processed\resized_images\image_1047_angle_90_resized.jpg,90
data\processed\resized_images\image_1139_angle_90_resized.jpg,90
data\processed\resized_images\image_930_angle_90_resized.jpg,90
data\processed\resized_images\image_934_angle_90_resized.jpg,90
data\processed\resized_images\image_1120_angle_90_resized.jpg,90
data\processed\resized_images\image_700_angle_90_resized.jpg,90
data\processed\resized_images\image_479_angle_90_resized.jpg,90
data\processed\resized_images\image_409_angle_90_resized.jpg,90
data\processed\resized_images\image_1138_angle_90_resized.jpg,90
data\processed\resized_images\image_1107_angle_90_resized.jpg,90
data\processed\resized_images\image_247_angle_90_resized.jpg,90
data\processed\resized_images\image_730_angle_90_resized.jpg,90
data\processed\resized_images\image_874_angle_90_resized.jpg,90
data\processed\resized_images\image_823_angle_90_resized.jpg,90
data\processed\resized_images\image_784_angle_90_resized.jpg,90
data\processed\resized_images\image_687_angle_90_resized.jpg,90
data\processed\resized_images\image_334_angle_90_resized.jpg,90
data\processed\resized_images\image_620_angle_90_resized.jpg,90
data\processed\resized_images\image_270_angle_90_resized.jpg,90
data\processed\resized_images\image_364_angle_90_resized.jpg,90
data\processed\resized_images\image_283_angle_90_resized.jpg,90
data\processed\resized_images\image_266_angle_90_resized.jpg,90
data\processed\resized_images\image_1034_angle_90_resized.jpg,90
data\processed\resized_images\image_579_angle_90_resized.jpg,90
data\processed\resized_images\image_862_angle_90_resized.jpg,90
data\processed\resized_images\image_550_angle_90_resized.jpg,90
data\processed\resized_images\image_608_angle_90_resized.jpg,90
data\processed\resized_images\image_880_angle_90_resized.jpg,90
data\processed\resized_images\image_823_angle_90_resized.jpg,90
data\processed\resized_images\image_844_angle_90_resized.jpg,90
data\processed\resized_images\image_203_angle_90_resized.jpg,90
data\processed\resized_images\image_335_angle_90_resized.jpg,90
data\processed\resized_images\image_869_angle_90_resized.jpg,90
data\processed\resized_images\image_182_angle_90_resized.jpg,90
data\processed\resized_images\image_059_angle_90_resized.jpg,90
data\processed\resized_images\image_298_angle_90_resized.jpg,90
data\processed\resized_images\image_793_angle_90_resized.jpg,90
data\processed\resized_images\image_799_angle_90_resized.jpg,90
data\processed\resized_images\image_027_angle_90_resized.jpg,90
data\processed\resized_images\image_433_angle_90_resized.jpg,90
data\processed\resized_images\image_261_angle_90_resized.jpg,90
data\processed\resized_images\image_069_angle_90_resized.jpg,90
data\processed\resized_images\image_423_angle_90_resized.jpg,90
data\processed\resized_images\image_782_angle_90_resized.jpg,90
data\processed\resized_images\image_1002_angle_90_resized.jpg,90
data\processed\resized_images\image_984_angle_90_resized.jpg,90
data\processed\resized_images\image_508_angle_90_resized.jpg,90
data\processed\resized_images\image_564_angle_90_resized.jpg,90
data\processed\resized_images\image_034_angle_90_resized.jpg,90
data\processed\resized_images\image_408_angle_90_resized.jpg,90
data\processed\resized_images\image_550_angle_90_resized.jpg,90
data\processed\resized_images\image_571_angle_90_resized.jpg,90
data\processed\resized_images\image_1102_angle_90_resized.jpg,90
data\processed\resized_images\image_566_angle_90_resized.jpg,90
data\processed\resized_images\image_786_angle_90_resized.jpg,90
data\processed\resized_images\image_641_angle_90_resized.jpg,90
data\processed\resized_images\image_608_angle_90_resized.jpg,90
data\processed\resized_images\image_237_angle_90_resized.jpg,90
data\processed\resized_images\image_005_angle_90_resized.jpg,90
data\processed\resized_images\image_062_angle_90_resized.jpg,90
data\processed\resized_images\image_331_angle_90_resized.jpg,90
data\processed\resized_images\image_096_angle_90_resized.jpg,90
data\processed\resized_images\image_022_angle_90_resized.jpg,90
data\processed\resized_images\image_287_angle_90_resized.jpg,90
data\processed\resized_images\image_387_angle_90_resized.jpg,90
data\processed\resized_images\image_261_angle_90_resized.jpg,90
data\processed\resized_images\image_086_angle_90_resized.jpg,90
data\processed\resized_images\image_795_angle_90_resized.jpg,90
data\processed\resized_images\image_009_angle_90_resized.jpg,90
data\processed\resized_images\image_1107_angle_90_resized.jpg,90
data\processed\resized_images\image_815_angle_90_resized.jpg,90
data\processed\resized_images\image_428_angle_90_resized.jpg,90
data\processed\resized_images\image_065_angle_90_resized.jpg,90
data\processed\resized_images\image_560_angle_90_resized.jpg,90
data\processed\resized_images\image_730_angle_90_resized.jpg,90
data\processed\resized_images\image_601_angle_90_resized.jpg,90
data\processed\resized_images\image_307_angle_90_resized.jpg,90
data\processed\resized_images\image_1100_angle_90_resized.jpg,90
data\processed\resized_images\image_1107_angle_90_resized.jpg,90
data\processed\resized_images\image_321_angle_90_resized.jpg,90
data\processed\resized_images\image_1141_angle_90_resized.jpg,90
data\processed\resized_images\image_329_angle_90_resized.jpg,90
data\processed\resized_images\image_477_angle_90_resized.jpg,90
data\processed\resized_images\image_916_angle_90_resized.jpg,90
data\processed\resized_images\image_266_angle_90_resized.jpg,90
data\processed\resized_images\image_485_angle_90_resized.jpg,90
data\processed\resized_images\image_660_angle_90_resized.jpg,90
data\processed\resized_images\image_182_angle_90_resized.jpg,90
data\processed\resized_images\image_023_angle_90_resized.jpg,90
data\processed\resized_images\image_561_angle_90_resized.jpg,90
data\processed\resized_images\image_398_angle_90_resized.jpg,90
data\processed\resized_images\image_100_angle_90_resized.jpg,90
data\processed\resized_images\image_1018_angle_90_resized.jpg,90
data\processed\resized_images\image_660_angle_90_resized.jpg,90
data\processed\resized_images\image_760_angle_90_resized.jpg,90
data\processed\resized_images\image_289_angle_90_resized.jpg,90
data\processed\resized_images\image_560_angle_90_resized.jpg,90
data\processed\resized_images\image_113_angle_90_resized.jpg,90
data\processed\resized_images\image_574_angle_90_resized.jpg,90
data\processed\resized_images\image_960_angle_90_resized.jpg,90
data\processed\resized_images\image_713_angle_90_resized.jpg,90
data\processed\resized_images\image_242_angle_90_resized.jpg,90
data\processed\resized_images\image_128_angle_90_resized.jpg,90
data\processed\resized_images\image_254_angle_90_resized.jpg,90
data\processed\resized_images\image_827_angle_90_resized.jpg,90
data\processed\resized_images\image_528_angle_90_resized.jpg,90
data\processed\resized_images\image_1120_angle_90_resized.jpg,90
data\processed\resized_images\image_919_angle_90_resized.jpg,90
data\processed\resized_images\image_846_angle_90_resized.jpg,90
data\processed\resized_images\image_596_angle_90_resized.jpg,90
data\processed\resized_images\image_459_angle_90_resized.jpg,90
data\processed\resized_images\image_298_angle_90_resized.jpg,90
data\processed\resized_images\image_076_angle_90_resized.jpg,90
data\processed\resized_images\image_285_angle_90_resized.jpg,90
data\processed\resized_images\image_460_angle_90_resized.jpg,90
data\processed\resized_images\image_033_angle_90_resized.jpg,90
data\processed\resized_images\image_741_angle_90_resized.jpg,90
data\processed\resized_images\image_612_angle_90_resized.jpg,90
data\processed\resized_images\image_899_angle_90_resized.jpg,90
data\processed\resized_images\image_898_angle_90_resized.jpg,90
data\processed\resized_images\image_018_angle_90_resized.jpg,90
data\processed\resized_images\image_640_angle_90_resized.jpg,90
data\processed\resized_images\image_843_angle_90_resized.jpg,90
data\processed\resized_images\image_632_angle_90_resized.jpg,90
data\processed\resized_images\image_064_angle_90_resized.jpg,90
data\processed\resized_images\image_288_angle_90_resized.jpg,90
data\processed\resized_images\image_025_angle_90_resized.jpg,90
data\processed\resized_images\image_656_angle_90_resized.jpg,90
data\processed\resized_images\image_508_angle_90_resized.jpg,90
data\processed\resized_images\image_865_angle_90_resized.jpg,90
data\processed\resized_images\image_224_angle_90_resized.jpg,90
data\processed\resized_images\image_793_angle_90_resized.jpg,90
data\processed\resized_images\image_229_angle_90_resized.jpg,90
data\processed\resized_images\image_1089_angle_90_resized.jpg,90
data\processed\resized_images\image_740_angle_90_resized.jpg,90
data\processed\resized_images\image_659_angle_90_resized.jpg,90
data\processed\resized_images\image_574_angle_90_resized.jpg,90
data\processed\resized_images\image_374_angle_90_resized.jpg,90
data\processed\resized_images\image_713_angle_90_resized.jpg,90
data\processed\resized_images\image_1002_angle_90_resized.jpg,90
data\processed\resized_images\image_247_angle_90_resized.jpg,90
data\processed\resized_images\image_317_angle_90_resized.jpg,90
data\processed\resized_images\image_1029_angle_90_resized.jpg,90
data\processed\resized_images\image_327_angle_90_resized.jpg,90
data\processed\resized_images\image_1175_angle_90_resized.jpg,90
data\processed\resized_images\image_240_angle_90_resized.jpg,90
data\processed\resized_images\image_635_angle_90_resized.jpg,90
data\processed\resized_images\image_1018_angle_90_resized.jpg,90
data\processed\resized_images\image_713_angle_90_resized.jpg,90
data\processed\resized_images\image_610_angle_90_resized.jpg,90
data\processed\resized_images\image_306_angle_90_resized.jpg,90
data\processed\resized_images\image_285_angle_90_resized.jpg,90
data\processed\resized_images\image_670_angle_90_resized.jpg,90
data\processed\resized_images\image_526_angle_90_resized.jpg,90
data\processed\resized_images\image_100_angle_90_resized.jpg,90
data\processed\resized_images\image_1113_angle_90_resized.jpg,90
data\processed\resized_images\image_1156_angle_120_resized.jpg,120
data\processed\resized_images\image_900_angle_120_resized.jpg,120
data\processed\resized_images\image_731_angle_120_resized.jpg,120
data\processed\resized_images\image_548_angle_120_resized.jpg,120
data\processed\resized_images\image_1165_angle_120_resized.jpg,120
data\processed\resized_images\image_1085_angle_120_resized.jpg,120
data\processed\resized_images\image_362_angle_120_resized.jpg,120
data\processed\resized_images\image_071_angle_120_resized.jpg,120
